time, error1, error2
71.0000,5041.0000,357911.0000
72.0000,5184.0000,373248.0000
73.0000,5329.0000,389017.0000
74.0000,5476.0000,405224.0000
75.0000,5625.0000,421875.0000
76.0000,5776.0000,438976.0000
77.0000,5929.0000,456533.0000
78.0000,6084.0000,474552.0000
79.0000,6241.0000,493039.0000
80.0000,6400.0000,512000.0000
81.0000,6561.0000,531441.0000
82.0000,6724.0000,551368.0000
83.0000,6889.0000,571787.0000
84.0000,7056.0000,592704.0000
85.0000,7225.0000,614125.0000
86.0000,7396.0000,636056.0000
87.0000,7569.0000,658503.0000
88.0000,7744.0000,681472.0000
89.0000,7921.0000,704969.0000
90.0000,8100.0000,729000.0000
91.0000,8281.0000,753571.0000
92.0000,8464.0000,778688.0000
93.0000,8649.0000,804357.0000
94.0000,8836.0000,830584.0000
95.0000,9025.0000,857375.0000
96.0000,9216.0000,884736.0000
97.0000,9409.0000,912673.0000
98.0000,9604.0000,941192.0000
99.0000,9801.0000,970299.0000
100.0000,10000.0000,1000000.0000
101.0000,10201.0000,1030301.0000
102.0000,10404.0000,1061208.0000
103.0000,10609.0000,1092727.0000
104.0000,10816.0000,1124864.0000
105.0000,11025.0000,1157625.0000
106.0000,11236.0000,1191016.0000
107.0000,11449.0000,1225043.0000
108.0000,11664.0000,1259712.0000
109.0000,11881.0000,1295029.0000
110.0000,12100.0000,1331000.0000
111.0000,12321.0000,1367631.0000
112.0000,12544.0000,1404928.0000
113.0000,12769.0000,1442897.0000
114.0000,12996.0000,1481544.0000
115.0000,13225.0000,1520875.0000
116.0000,13456.0000,1560896.0000
117.0000,13689.0000,1601613.0000
118.0000,13924.0000,1643032.0000
119.0000,14161.0000,1685159.0000
120.0000,14400.0000,1728000.0000
121.0000,14641.0000,1771561.0000
122.0000,14884.0000,1815848.0000
123.0000,15129.0000,1860867.0000
124.0000,15376.0000,1906624.0000
125.0000,15625.0000,1953125.0000
126.0000,15876.0000,2000376.0000
127.0000,16129.0000,2048383.0000
128.0000,16384.0000,2097152.0000
129.0000,16641.0000,2146689.0000
130.0000,16900.0000,2197000.0000
131.0000,17161.0000,2248091.0000
132.0000,17424.0000,2299968.0000
133.0000,17689.0000,2352637.0000
134.0000,17956.0000,2406104.0000
135.0000,18225.0000,2460375.0000
136.0000,18496.0000,2515456.0000
137.0000,18769.0000,2571353.0000
138.0000,19044.0000,2628072.0000
139.0000,19321.0000,2685619.0000
140.0000,19600.0000,2744000.0000
141.0000,19881.0000,2803221.0000
142.0000,20164.0000,2863288.0000
143.0000,20449.0000,2924207.0000
144.0000,20736.0000,2985984.0000
145.0000,21025.0000,3048625.0000
146.0000,21316.0000,3112136.0000
147.0000,21609.0000,3176523.0000
148.0000,21904.0000,3241792.0000
149.0000,22201.0000,3307949.0000
150.0000,22500.0000,3375000.0000
151.0000,22801.0000,3442951.0000
152.0000,23104.0000,3511808.0000
153.0000,23409.0000,3581577.0000
154.0000,23716.0000,3652264.0000
155.0000,24025.0000,3723875.0000
156.0000,24336.0000,3796416.0000
157.0000,24649.0000,3869893.0000
158.0000,24964.0000,3944312.0000
159.0000,25281.0000,4019679.0000
160.0000,25600.0000,4096000.0000
161.0000,25921.0000,4173281.0000
162.0000,26244.0000,4251528.0000
163.0000,26569.0000,4330747.0000
164.0000,26896.0000,4410944.0000
165.0000,27225.0000,4492125.0000
166.0000,27556.0000,4574296.0000
167.0000,27889.0000,4657463.0000
168.0000,28224.0000,4741632.0000
169.0000,28561.0000,4826809.0000
170.0000,28900.0000,4913000.0000
171.0000,29241.0000,5000211.0000
172.0000,29584.0000,5088448.0000
173.0000,29929.0000,5177717.0000
174.0000,30276.0000,5268024.0000
175.0000,30625.0000,5359375.0000
176.0000,30976.0000,5451776.0000
177.0000,31329.0000,5545233.0000
178.0000,31684.0000,5639752.0000
179.0000,32041.0000,5735339.0000
180.0000,32400.0000,5832000.0000
181.0000,32761.0000,5929741.0000
182.0000,33124.0000,6028568.0000
183.0000,33489.0000,6128487.0000
184.0000,33856.0000,6229504.0000
185.0000,34225.0000,6331625.0000
186.0000,34596.0000,6434856.0000
187.0000,34969.0000,6539203.0000
188.0000,35344.0000,6644672.0000
189.0000,35721.0000,6751269.0000
190.0000,36100.0000,6859000.0000
191.0000,36481.0000,6967871.0000
192.0000,36864.0000,7077888.0000
193.0000,37249.0000,7189057.0000
194.0000,37636.0000,7301384.0000
195.0000,38025.0000,7414875.0000
196.0000,38416.0000,7529536.0000
197.0000,38809.0000,7645373.0000
198.0000,39204.0000,7762392.0000
199.0000,39601.0000,7880599.0000
200.0000,40000.0000,8000000.0000
201.0000,40401.0000,8120601.0000
202.0000,40804.0000,8242408.0000
203.0000,41209.0000,8365427.0000
204.0000,41616.0000,8489664.0000
205.0000,42025.0000,8615125.0000
206.0000,42436.0000,8741816.0000
207.0000,42849.0000,8869743.0000
208.0000,43264.0000,8998912.0000
209.0000,43681.0000,9129329.0000
210.0000,44100.0000,9261000.0000
211.0000,44521.0000,9393931.0000
212.0000,44944.0000,9528128.0000
213.0000,45369.0000,9663597.0000
214.0000,45796.0000,9800344.0000
215.0000,46225.0000,9938375.0000
216.0000,46656.0000,10077696.0000
217.0000,47089.0000,10218313.0000
218.0000,47524.0000,10360232.0000
219.0000,47961.0000,10503459.0000
220.0000,48400.0000,10648000.0000
221.0000,48841.0000,10793861.0000
222.0000,49284.0000,10941048.0000
223.0000,49729.0000,11089567.0000
224.0000,50176.0000,11239424.0000
225.0000,50625.0000,11390625.0000
226.0000,51076.0000,11543176.0000
227.0000,51529.0000,11697083.0000
228.0000,51984.0000,11852352.0000
229.0000,52441.0000,12008989.0000
230.0000,52900.0000,12167000.0000
231.0000,53361.0000,12326391.0000
232.0000,53824.0000,12487168.0000
233.0000,54289.0000,12649337.0000
234.0000,54756.0000,12812904.0000
235.0000,55225.0000,12977875.0000
236.0000,55696.0000,13144256.0000
237.0000,56169.0000,13312053.0000
238.0000,56644.0000,13481272.0000
239.0000,57121.0000,13651919.0000
240.0000,57600.0000,13824000.0000
241.0000,58081.0000,13997521.0000
242.0000,58564.0000,14172488.0000
243.0000,59049.0000,14348907.0000
244.0000,59536.0000,14526784.0000
245.0000,60025.0000,14706125.0000
246.0000,60516.0000,14886936.0000
247.0000,61009.0000,15069223.0000
248.0000,61504.0000,15252992.0000
249.0000,62001.0000,15438249.0000
250.0000,62500.0000,15625000.0000
251.0000,63001.0000,15813251.0000
252.0000,63504.0000,16003008.0000
253.0000,64009.0000,16194277.0000
254.0000,64516.0000,16387064.0000
255.0000,65025.0000,16581375.0000
256.0000,65536.0000,16777216.0000
257.0000,66049.0000,16974593.0000
258.0000,66564.0000,17173512.0000
259.0000,67081.0000,17373979.0000
260.0000,67600.0000,17576000.0000
261.0000,68121.0000,17779581.0000
262.0000,68644.0000,17984728.0000
263.0000,69169.0000,18191447.0000
264.0000,69696.0000,18399744.0000
265.0000,70225.0000,18609625.0000
266.0000,70756.0000,18821096.0000
267.0000,71289.0000,19034163.0000
268.0000,71824.0000,19248832.0000
269.0000,72361.0000,19465109.0000
270.0000,72900.0000,19683000.0000
271.0000,73441.0000,19902511.0000
272.0000,73984.0000,20123648.0000
273.0000,74529.0000,20346417.0000
274.0000,75076.0000,20570824.0000
275.0000,75625.0000,20796875.0000
276.0000,76176.0000,21024576.0000
277.0000,76729.0000,21253933.0000
278.0000,77284.0000,21484952.0000
279.0000,77841.0000,21717639.0000
280.0000,78400.0000,21952000.0000
281.0000,78961.0000,22188041.0000
282.0000,79524.0000,22425768.0000
283.0000,80089.0000,22665187.0000
284.0000,80656.0000,22906304.0000
285.0000,81225.0000,23149125.0000
286.0000,81796.0000,23393656.0000
287.0000,82369.0000,23639903.0000
288.0000,82944.0000,23887872.0000
289.0000,83521.0000,24137569.0000
290.0000,84100.0000,24389000.0000
291.0000,84681.0000,24642171.0000
292.0000,85264.0000,24897088.0000
293.0000,85849.0000,25153757.0000
294.0000,86436.0000,25412184.0000
295.0000,87025.0000,25672375.0000
296.0000,87616.0000,25934336.0000
297.0000,88209.0000,26198073.0000
298.0000,88804.0000,26463592.0000
299.0000,89401.0000,26730899.0000
300.0000,90000.0000,27000000.0000
301.0000,90601.0000,27270901.0000
302.0000,91204.0000,27543608.0000
303.0000,91809.0000,27818127.0000
304.0000,92416.0000,28094464.0000
305.0000,93025.0000,28372625.0000
306.0000,93636.0000,28652616.0000
307.0000,94249.0000,28934443.0000
308.0000,94864.0000,29218112.0000
309.0000,95481.0000,29503629.0000
310.0000,96100.0000,29791000.0000
311.0000,96721.0000,30080231.0000
312.0000,97344.0000,30371328.0000
313.0000,97969.0000,30664297.0000
314.0000,98596.0000,30959144.0000
315.0000,99225.0000,31255875.0000
316.0000,99856.0000,31554496.0000
317.0000,100489.0000,31855013.0000
318.0000,101124.0000,32157432.0000
319.0000,101761.0000,32461759.0000
320.0000,102400.0000,32768000.0000
321.0000,103041.0000,33076161.0000
322.0000,103684.0000,33386248.0000
323.0000,104329.0000,33698267.0000
324.0000,104976.0000,34012224.0000
325.0000,105625.0000,34328125.0000
326.0000,106276.0000,34645976.0000
327.0000,106929.0000,34965783.0000
328.0000,107584.0000,35287552.0000
329.0000,108241.0000,35611289.0000
330.0000,108900.0000,35937000.0000
331.0000,109561.0000,36264691.0000
332.0000,110224.0000,36594368.0000
333.0000,110889.0000,36926037.0000
334.0000,111556.0000,37259704.0000
335.0000,112225.0000,37595375.0000
336.0000,112896.0000,37933056.0000
337.0000,113569.0000,38272753.0000
338.0000,114244.0000,38614472.0000
339.0000,114921.0000,38958219.0000
340.0000,115600.0000,39304000.0000
341.0000,116281.0000,39651821.0000
342.0000,116964.0000,40001688.0000
343.0000,117649.0000,40353607.0000
344.0000,118336.0000,40707584.0000
345.0000,119025.0000,41063625.0000
346.0000,119716.0000,41421736.0000
347.0000,120409.0000,41781923.0000
348.0000,121104.0000,42144192.0000
349.0000,121801.0000,42508549.0000
350.0000,122500.0000,42875000.0000
351.0000,123201.0000,43243551.0000
352.0000,123904.0000,43614208.0000
353.0000,124609.0000,43986977.0000
354.0000,125316.0000,44361864.0000
355.0000,126025.0000,44738875.0000
356.0000,126736.0000,45118016.0000
357.0000,127449.0000,45499293.0000
358.0000,128164.0000,45882712.0000
359.0000,128881.0000,46268279.0000
360.0000,129600.0000,46656000.0000
361.0000,130321.0000,47045881.0000
362.0000,131044.0000,47437928.0000
363.0000,131769.0000,47832147.0000
364.0000,132496.0000,48228544.0000
365.0000,133225.0000,48627125.0000
366.0000,133956.0000,49027896.0000
367.0000,134689.0000,49430863.0000
368.0000,135424.0000,49836032.0000
369.0000,136161.0000,50243409.0000
370.0000,136900.0000,50653000.0000
371.0000,137641.0000,51064811.0000
372.0000,138384.0000,51478848.0000
373.0000,139129.0000,51895117.0000
374.0000,139876.0000,52313624.0000
375.0000,140625.0000,52734375.0000
376.0000,141376.0000,53157376.0000
377.0000,142129.0000,53582633.0000
378.0000,142884.0000,54010152.0000
379.0000,143641.0000,54439939.0000
380.0000,144400.0000,54872000.0000
381.0000,145161.0000,55306341.0000
382.0000,145924.0000,55742968.0000
383.0000,146689.0000,56181887.0000
384.0000,147456.0000,56623104.0000
385.0000,148225.0000,57066625.0000
386.0000,148996.0000,57512456.0000
387.0000,149769.0000,57960603.0000
388.0000,150544.0000,58411072.0000
389.0000,151321.0000,58863869.0000
390.0000,152100.0000,59319000.0000
391.0000,152881.0000,59776471.0000
392.0000,153664.0000,60236288.0000
393.0000,154449.0000,60698457.0000
394.0000,155236.0000,61162984.0000
395.0000,156025.0000,61629875.0000
396.0000,156816.0000,62099136.0000
397.0000,157609.0000,62570773.0000
398.0000,158404.0000,63044792.0000
399.0000,159201.0000,63521199.0000
400.0000,160000.0000,64000000.0000
401.0000,160801.0000,64481201.0000
402.0000,161604.0000,64964808.0000
403.0000,162409.0000,65450827.0000
404.0000,163216.0000,65939264.0000
405.0000,164025.0000,66430125.0000
406.0000,164836.0000,66923416.0000
407.0000,165649.0000,67419143.0000
408.0000,166464.0000,67917312.0000
409.0000,167281.0000,68417929.0000
410.0000,168100.0000,68921000.0000
411.0000,168921.0000,69426531.0000
412.0000,169744.0000,69934528.0000
413.0000,170569.0000,70444997.0000
414.0000,171396.0000,70957944.0000
415.0000,172225.0000,71473375.0000
416.0000,173056.0000,71991296.0000
417.0000,173889.0000,72511713.0000
418.0000,174724.0000,73034632.0000
419.0000,175561.0000,73560059.0000
420.0000,176400.0000,74088000.0000
421.0000,177241.0000,74618461.0000
422.0000,178084.0000,75151448.0000
423.0000,178929.0000,75686967.0000
424.0000,179776.0000,76225024.0000
425.0000,180625.0000,76765625.0000
426.0000,181476.0000,77308776.0000
427.0000,182329.0000,77854483.0000
428.0000,183184.0000,78402752.0000
429.0000,184041.0000,78953589.0000
430.0000,184900.0000,79507000.0000
431.0000,185761.0000,80062991.0000
432.0000,186624.0000,80621568.0000
433.0000,187489.0000,81182737.0000
434.0000,188356.0000,81746504.0000
435.0000,189225.0000,82312875.0000
436.0000,190096.0000,82881856.0000
437.0000,190969.0000,83453453.0000
438.0000,191844.0000,84027672.0000
439.0000,192721.0000,84604519.0000
440.0000,193600.0000,85184000.0000
441.0000,194481.0000,85766121.0000
442.0000,195364.0000,86350888.0000
443.0000,196249.0000,86938307.0000
444.0000,197136.0000,87528384.0000
445.0000,198025.0000,88121125.0000
446.0000,198916.0000,88716536.0000
447.0000,199809.0000,89314623.0000
448.0000,200704.0000,89915392.0000
449.0000,201601.0000,90518849.0000
450.0000,202500.0000,91125000.0000
451.0000,203401.0000,91733851.0000
452.0000,204304.0000,92345408.0000
453.0000,205209.0000,92959677.0000
454.0000,206116.0000,93576664.0000
455.0000,207025.0000,94196375.0000
456.0000,207936.0000,94818816.0000
457.0000,208849.0000,95443993.0000
458.0000,209764.0000,96071912.0000
459.0000,210681.0000,96702579.0000
460.0000,211600.0000,97336000.0000
461.0000,212521.0000,97972181.0000
462.0000,213444.0000,98611128.0000
463.0000,214369.0000,99252847.0000
464.0000,215296.0000,99897344.0000
465.0000,216225.0000,100544625.0000
466.0000,217156.0000,101194696.0000
467.0000,218089.0000,101847563.0000
468.0000,219024.0000,102503232.0000
469.0000,219961.0000,103161709.0000
470.0000,220900.0000,103823000.0000
471.0000,221841.0000,104487111.0000
472.0000,222784.0000,105154048.0000
473.0000,223729.0000,105823817.0000
474.0000,224676.0000,106496424.0000
475.0000,225625.0000,107171875.0000
476.0000,226576.0000,107850176.0000
477.0000,227529.0000,108531333.0000
478.0000,228484.0000,109215352.0000
479.0000,229441.0000,109902239.0000
480.0000,230400.0000,110592000.0000
481.0000,231361.0000,111284641.0000
482.0000,232324.0000,111980168.0000
483.0000,233289.0000,112678587.0000
484.0000,234256.0000,113379904.0000
485.0000,235225.0000,114084125.0000
486.0000,236196.0000,114791256.0000
487.0000,237169.0000,115501303.0000
488.0000,238144.0000,116214272.0000
489.0000,239121.0000,116930169.0000
490.0000,240100.0000,117649000.0000
491.0000,241081.0000,118370771.0000
492.0000,242064.0000,119095488.0000
493.0000,243049.0000,119823157.0000
494.0000,244036.0000,120553784.0000
495.0000,245025.0000,121287375.0000
496.0000,246016.0000,122023936.0000
497.0000,247009.0000,122763473.0000
498.0000,248004.0000,123505992.0000
499.0000,249001.0000,124251499.0000
500.0000,250000.0000,125000000.0000
501.0000,251001.0000,125751501.0000
502.0000,252004.0000,126506008.0000
503.0000,253009.0000,127263527.0000
504.0000,254016.0000,128024064.0000
505.0000,255025.0000,128787625.0000
506.0000,256036.0000,129554216.0000
507.0000,257049.0000,130323843.0000
508.0000,258064.0000,131096512.0000
509.0000,259081.0000,131872229.0000
510.0000,260100.0000,132651000.0000
511.0000,261121.0000,133432831.0000
512.0000,262144.0000,134217728.0000
513.0000,263169.0000,135005697.0000
514.0000,264196.0000,135796744.0000
515.0000,265225.0000,136590875.0000
516.0000,266256.0000,137388096.0000
517.0000,267289.0000,138188413.0000
518.0000,268324.0000,138991832.0000
519.0000,269361.0000,139798359.0000
520.0000,270400.0000,140608000.0000
521.0000,271441.0000,141420761.0000
522.0000,272484.0000,142236648.0000
523.0000,273529.0000,143055667.0000
524.0000,274576.0000,143877824.0000
525.0000,275625.0000,144703125.0000
526.0000,276676.0000,145531576.0000
527.0000,277729.0000,146363183.0000
528.0000,278784.0000,147197952.0000
529.0000,279841.0000,148035889.0000
530.0000,280900.0000,148877000.0000
531.0000,281961.0000,149721291.0000
532.0000,283024.0000,150568768.0000
533.0000,284089.0000,151419437.0000
534.0000,285156.0000,152273304.0000
535.0000,286225.0000,153130375.0000
536.0000,287296.0000,153990656.0000
537.0000,288369.0000,154854153.0000
538.0000,289444.0000,155720872.0000
539.0000,290521.0000,156590819.0000
540.0000,291600.0000,157464000.0000
541.0000,292681.0000,158340421.0000
542.0000,293764.0000,159220088.0000
543.0000,294849.0000,160103007.0000
544.0000,295936.0000,160989184.0000
545.0000,297025.0000,161878625.0000
546.0000,298116.0000,162771336.0000
547.0000,299209.0000,163667323.0000
548.0000,300304.0000,164566592.0000
549.0000,301401.0000,165469149.0000
550.0000,302500.0000,166375000.0000
551.0000,303601.0000,167284151.0000
552.0000,304704.0000,168196608.0000
553.0000,305809.0000,169112377.0000
554.0000,306916.0000,170031464.0000
555.0000,308025.0000,170953875.0000
556.0000,309136.0000,171879616.0000
557.0000,310249.0000,172808693.0000
558.0000,311364.0000,173741112.0000
559.0000,312481.0000,174676879.0000
560.0000,313600.0000,175616000.0000
561.0000,314721.0000,176558481.0000
562.0000,315844.0000,177504328.0000
563.0000,316969.0000,178453547.0000
564.0000,318096.0000,179406144.0000
565.0000,319225.0000,180362125.0000
566.0000,320356.0000,181321496.0000
567.0000,321489.0000,182284263.0000
568.0000,322624.0000,183250432.0000
569.0000,323761.0000,184220009.0000
570.0000,324900.0000,185193000.0000
571.0000,326041.0000,186169411.0000
572.0000,327184.0000,187149248.0000
573.0000,328329.0000,188132517.0000
574.0000,329476.0000,189119224.0000
575.0000,330625.0000,190109375.0000
576.0000,331776.0000,191102976.0000
577.0000,332929.0000,192100033.0000
578.0000,334084.0000,193100552.0000
579.0000,335241.0000,194104539.0000
580.0000,336400.0000,195112000.0000
581.0000,337561.0000,196122941.0000
582.0000,338724.0000,197137368.0000
583.0000,339889.0000,198155287.0000
584.0000,341056.0000,199176704.0000
585.0000,342225.0000,200201625.0000
586.0000,343396.0000,201230056.0000
587.0000,344569.0000,202262003.0000
588.0000,345744.0000,203297472.0000
589.0000,346921.0000,204336469.0000
590.0000,348100.0000,205379000.0000
591.0000,349281.0000,206425071.0000
592.0000,350464.0000,207474688.0000
593.0000,351649.0000,208527857.0000
594.0000,352836.0000,209584584.0000
595.0000,354025.0000,210644875.0000
596.0000,355216.0000,211708736.0000
597.0000,356409.0000,212776173.0000
598.0000,357604.0000,213847192.0000
599.0000,358801.0000,214921799.0000
600.0000,360000.0000,216000000.0000
601.0000,361201.0000,217081801.0000
602.0000,362404.0000,218167208.0000
603.0000,363609.0000,219256227.0000
604.0000,364816.0000,220348864.0000
605.0000,366025.0000,221445125.0000
606.0000,367236.0000,222545016.0000
607.0000,368449.0000,223648543.0000
608.0000,369664.0000,224755712.0000
609.0000,370881.0000,225866529.0000
610.0000,372100.0000,226981000.0000
611.0000,373321.0000,228099131.0000
612.0000,374544.0000,229220928.0000
613.0000,375769.0000,230346397.0000
614.0000,376996.0000,231475544.0000
615.0000,378225.0000,232608375.0000
616.0000,379456.0000,233744896.0000
617.0000,380689.0000,234885113.0000
618.0000,381924.0000,236029032.0000
619.0000,383161.0000,237176659.0000
620.0000,384400.0000,238328000.0000
621.0000,385641.0000,239483061.0000
622.0000,386884.0000,240641848.0000
623.0000,388129.0000,241804367.0000
624.0000,389376.0000,242970624.0000
625.0000,390625.0000,244140625.0000
626.0000,391876.0000,245314376.0000
627.0000,393129.0000,246491883.0000
628.0000,394384.0000,247673152.0000
629.0000,395641.0000,248858189.0000
630.0000,396900.0000,250047000.0000
631.0000,398161.0000,251239591.0000
632.0000,399424.0000,252435968.0000
633.0000,400689.0000,253636137.0000
634.0000,401956.0000,254840104.0000
635.0000,403225.0000,256047875.0000
636.0000,404496.0000,257259456.0000
637.0000,405769.0000,258474853.0000
638.0000,407044.0000,259694072.0000
639.0000,408321.0000,260917119.0000
640.0000,409600.0000,262144000.0000
641.0000,410881.0000,263374721.0000
642.0000,412164.0000,264609288.0000
643.0000,413449.0000,265847707.0000
644.0000,414736.0000,267089984.0000
645.0000,416025.0000,268336125.0000
646.0000,417316.0000,269586136.0000
647.0000,418609.0000,270840023.0000
648.0000,419904.0000,272097792.0000
649.0000,421201.0000,273359449.0000
650.0000,422500.0000,274625000.0000
651.0000,423801.0000,275894451.0000
652.0000,425104.0000,277167808.0000
653.0000,426409.0000,278445077.0000
654.0000,427716.0000,279726264.0000
655.0000,429025.0000,281011375.0000
656.0000,430336.0000,282300416.0000
657.0000,431649.0000,283593393.0000
658.0000,432964.0000,284890312.0000
659.0000,434281.0000,286191179.0000
660.0000,435600.0000,287496000.0000
661.0000,436921.0000,288804781.0000
662.0000,438244.0000,290117528.0000
663.0000,439569.0000,291434247.0000
664.0000,440896.0000,292754944.0000
665.0000,442225.0000,294079625.0000
666.0000,443556.0000,295408296.0000
667.0000,444889.0000,296740963.0000
668.0000,446224.0000,298077632.0000
669.0000,447561.0000,299418309.0000
670.0000,448900.0000,300763000.0000
671.0000,450241.0000,302111711.0000
672.0000,451584.0000,303464448.0000
673.0000,452929.0000,304821217.0000
674.0000,454276.0000,306182024.0000
675.0000,455625.0000,307546875.0000
676.0000,456976.0000,308915776.0000
677.0000,458329.0000,310288733.0000
678.0000,459684.0000,311665752.0000
679.0000,461041.0000,313046839.0000
680.0000,462400.0000,314432000.0000
681.0000,463761.0000,315821241.0000
682.0000,465124.0000,317214568.0000
683.0000,466489.0000,318611987.0000
684.0000,467856.0000,320013504.0000
685.0000,469225.0000,321419125.0000
686.0000,470596.0000,322828856.0000
687.0000,471969.0000,324242703.0000
688.0000,473344.0000,325660672.0000
689.0000,474721.0000,327082769.0000
690.0000,476100.0000,328509000.0000
691.0000,477481.0000,329939371.0000
692.0000,478864.0000,331373888.0000
693.0000,480249.0000,332812557.0000
694.0000,481636.0000,334255384.0000
695.0000,483025.0000,335702375.0000
696.0000,484416.0000,337153536.0000
697.0000,485809.0000,338608873.0000
698.0000,487204.0000,340068392.0000
699.0000,488601.0000,341532099.0000
700.0000,490000.0000,343000000.0000
701.0000,491401.0000,344472101.0000
702.0000,492804.0000,345948408.0000
703.0000,494209.0000,347428927.0000
704.0000,495616.0000,348913664.0000
705.0000,497025.0000,350402625.0000
706.0000,498436.0000,351895816.0000
707.0000,499849.0000,353393243.0000
708.0000,501264.0000,354894912.0000
709.0000,502681.0000,356400829.0000
710.0000,504100.0000,357911000.0000
711.0000,505521.0000,359425431.0000
712.0000,506944.0000,360944128.0000
713.0000,508369.0000,362467097.0000
714.0000,509796.0000,363994344.0000
715.0000,511225.0000,365525875.0000
716.0000,512656.0000,367061696.0000
717.0000,514089.0000,368601813.0000
718.0000,515524.0000,370146232.0000
719.0000,516961.0000,371694959.0000
720.0000,518400.0000,373248000.0000
721.0000,519841.0000,374805361.0000
722.0000,521284.0000,376367048.0000
723.0000,522729.0000,377933067.0000
724.0000,524176.0000,379503424.0000
725.0000,525625.0000,381078125.0000
726.0000,527076.0000,382657176.0000
727.0000,528529.0000,384240583.0000
728.0000,529984.0000,385828352.0000
729.0000,531441.0000,387420489.0000
730.0000,532900.0000,389017000.0000
731.0000,534361.0000,390617891.0000
732.0000,535824.0000,392223168.0000
733.0000,537289.0000,393832837.0000
734.0000,538756.0000,395446904.0000
735.0000,540225.0000,397065375.0000
736.0000,541696.0000,398688256.0000
737.0000,543169.0000,400315553.0000
738.0000,544644.0000,401947272.0000
739.0000,546121.0000,403583419.0000
740.0000,547600.0000,405224000.0000
741.0000,549081.0000,406869021.0000
742.0000,550564.0000,408518488.0000
743.0000,552049.0000,410172407.0000
744.0000,553536.0000,411830784.0000
745.0000,555025.0000,413493625.0000
746.0000,556516.0000,415160936.0000
747.0000,558009.0000,416832723.0000
748.0000,559504.0000,418508992.0000
749.0000,561001.0000,420189749.0000
750.0000,562500.0000,421875000.0000
751.0000,564001.0000,423564751.0000
752.0000,565504.0000,425259008.0000
753.0000,567009.0000,426957777.0000
754.0000,568516.0000,428661064.0000
755.0000,570025.0000,430368875.0000
756.0000,571536.0000,432081216.0000
757.0000,573049.0000,433798093.0000
758.0000,574564.0000,435519512.0000
759.0000,576081.0000,437245479.0000
760.0000,577600.0000,438976000.0000
761.0000,579121.0000,440711081.0000
762.0000,580644.0000,442450728.0000
763.0000,582169.0000,444194947.0000
764.0000,583696.0000,445943744.0000
765.0000,585225.0000,447697125.0000
766.0000,586756.0000,449455096.0000
767.0000,588289.0000,451217663.0000
768.0000,589824.0000,452984832.0000
769.0000,591361.0000,454756609.0000
770.0000,592900.0000,456533000.0000
771.0000,594441.0000,458314011.0000
772.0000,595984.0000,460099648.0000
773.0000,597529.0000,461889917.0000
774.0000,599076.0000,463684824.0000
775.0000,600625.0000,465484375.0000
776.0000,602176.0000,467288576.0000
777.0000,603729.0000,469097433.0000
778.0000,605284.0000,470910952.0000
779.0000,606841.0000,472729139.0000
780.0000,608400.0000,474552000.0000
781.0000,609961.0000,476379541.0000
782.0000,611524.0000,478211768.0000
783.0000,613089.0000,480048687.0000
784.0000,614656.0000,481890304.0000
